epoch,step,train_backcast_loss_epoch,train_backcast_loss_step,train_forecast_loss_epoch,train_forecast_loss_step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_MASE,val_RMSE,val_SMAPE,val_backcast_loss,val_forecast_loss,val_loss
0,49,,0.7681922316551208,,8.368483543395996,,8.368483543395996,,,,,,,,
0,99,,0.8571242094039917,,9.131715774536133,,9.131715774536133,,,,,,,,
0,119,,,,,,,0.040366820991039276,0.04372704401612282,2.6014115810394287,0.04410110041499138,0.044453199952840805,0.922168493270874,2.6014115810394287,2.6014115810394287
0,119,0.7744916081428528,,8.824649810791016,,8.824649810791016,,,,,,,,,
1,149,,0.840823769569397,,8.912663459777832,,8.912663459777832,,,,,,,,
1,199,,0.762556254863739,,8.829874992370605,,8.829874992370605,,,,,,,,
1,239,,,,,,,0.051743995398283005,0.055679503828287125,3.3346054553985596,0.055718518793582916,0.057310882955789566,0.9170931577682495,3.3346054553985596,3.3346054553985596
1,239,0.7823068499565125,,8.558409690856934,,8.558409690856934,,,,,,,,,
2,249,,0.8045036196708679,,10.118094444274902,,10.118094444274902,,,,,,,,
2,299,,0.836727499961853,,9.446978569030762,,9.446978569030762,,,,,,,,
2,349,,0.7966741919517517,,8.614402770996094,,8.614402770996094,,,,,,,,
2,359,,,,,,,0.10439694672822952,0.11220621317625046,6.727787494659424,0.11003419756889343,0.11959410458803177,0.9848631024360657,6.727787494659424,6.727787494659424
2,359,0.7821651697158813,,8.583196640014648,,8.583196640014648,,,,,,,,,
3,399,,0.7600905895233154,,9.487393379211426,,9.487393379211426,,,,,,,,
3,449,,0.8533599972724915,,10.042744636535645,,10.042744636535645,,,,,,,,
3,479,,,,,,,0.05902234837412834,0.0633711889386177,3.8036537170410156,0.0636049434542656,0.06565362215042114,0.9191687107086182,3.8036537170410156,3.8036537170410156
3,479,0.7871558666229248,,8.434435844421387,,8.434435844421387,,,,,,,,,
4,499,,0.756735622882843,,9.515411376953125,,9.515411376953125,,,,,,,,
4,549,,0.7162579298019409,,8.518135070800781,,8.518135070800781,,,,,,,,
4,599,,0.7042138576507568,,9.815041542053223,,9.815041542053223,,,,,,,,
4,599,,,,,,,0.09147269278764725,0.09813050180673599,5.894893646240234,0.0978449136018753,0.10391724109649658,0.9666655659675598,5.894893646240234,5.894893646240234
4,599,0.782560408115387,,8.527541160583496,,8.527541160583496,,,,,,,,,
